"","GroupingProperty","Species","Site","Tank_color","Size_cm","Partial_mortality","Colony_depth_ft","ED50","ED5","ED95","DW","Cluster_4","Cluster_5","Cluster_6","Cluster_7","Cluster_8"
"93","7_AGLO_6","AGLO",7,"2-blue",75,10,38,38.49,37.59,39.42,1.83,4,5,5,6,6
"94","7_AGLO_7","AGLO",7,"2-blue",53,55,39,38.57,37.54,39.64,2.1,4,5,5,6,6
"95","7_AGLO_8","AGLO",7,"2-blue",68,5,38,37.94,35.58,40.46,4.88,4,5,5,6,7
"96","7_AGLO_9","AGLO",7,"2-blue",30,3,35,38.23,37.15,39.35,2.2,4,5,5,6,7
"97","7_AGLO_10","AGLO",7,"2-blue",41,5,40,38.22,36.77,39.72,2.95,4,5,5,6,7
"98","7_AGLO_11","AGLO",7,"2-blue",28,10,37,38.2,36.25,40.25,4,4,5,5,6,7
"99","9_AABR_1","AABR",9,"1-green",225,20,33,37.4,35.66,39.22,3.56,3,4,4,5,5
"100","9_AGLO_1","AGLO",9,"1-green",38,1,28,37.78,35.75,39.91,4.16,1,1,1,1,1
"101","9_AGLO_2","AGLO",9,"1-green",53,0,31,37.94,36.14,39.82,3.68,1,1,1,1,1
"102","9_AGLO_3","AGLO",9,"1-green",74,50,40,37.98,36.64,39.37,2.73,1,2,2,2,2
"103","9_AGLO_4","AGLO",9,"1-green",39,0,30,37.33,33.95,41.03,7.08,1,2,2,2,2
"104","9_AGLO_5","AGLO",9,"1-green",35,3,36,38.07,36.66,39.53,2.87,1,1,1,1,1
"105","9_AGLO_6","AGLO",9,"1-green",67,1,30,37.52,34.6,40.68,6.08,1,2,2,2,2
"106","9_AGLO_7","AGLO",9,"1-green",70,3,30,37.48,35.22,39.87,4.65,1,2,2,2,2
"107","9_AGLO_8","AGLO",9,"1-green",45,1,39,38.69,38.45,38.92,0.469999999999999,1,2,2,2,2
"108","9_AHYA_1","AHYA",9,"1-green",70,0,32,38.5,37.7,39.31,1.61,1,1,1,1,1
"109","9_AHYA_2","AHYA",9,"1-green",125,20,34,37.93,36.28,39.65,3.37,1,1,1,1,1
"110","9_AHYA_3","AHYA",9,"1-green",36,0,47,37.8,36.17,39.5,3.33,1,1,1,1,1
"111","9_AHYA_4","AHYA",9,"1-green",47,0,39,37.96,36.13,39.88,3.75,1,1,1,1,1
"112","9_AHYA_5","AHYA",9,"1-green",80,0,38,37.8,35.67,40.06,4.39,1,2,2,2,2
"113","9_ICRA_1","ICRA",9,"1-green",62,5,31,37.85,35.95,39.85,3.9,2,3,3,3,3
"114","9_ICRA_2","ICRA",9,"1-green",53,5,33,38.2,36.69,39.78,3.09,3,4,4,4,4
"115","9_ICRA_3","ICRA",9,"1-green",31,20,28,37.97,36.36,39.66,3.3,2,3,3,3,3
"116","9_ICRA_4","ICRA",9,"1-green",82,7,42,38.29,36.58,40.09,3.51000000000001,2,3,3,3,3
"117","9_ICRA_5","ICRA",9,"1-green",64,30,27,38.4,37.52,39.29,1.77,2,3,3,3,3
"118","9_ICRA_6","ICRA",9,"1-green",50,4,28,38.2,36.88,39.57,2.69,2,3,3,3,3
"119","10_AHYA_1","AHYA",10,"1-green",142,0,29,38.89,36.33,41.64,5.31,1,2,2,2,2
"120","10_AHYA_2","AHYA",10,"1-green",81,0,29,38.73,34.47,43.53,9.06,1,2,2,2,2
"121","10_AABR_1","AABR",10,"1-green",140,1,30,37.76,34.77,41.01,6.23999999999999,1,1,1,1,1
"122","10_AABR_2","AABR",10,"1-green",94,2,40,37.66,35.68,39.75,4.07,1,1,1,1,1
"123","10_AGLO_1","AGLO",10,"1-green",56,8,38,37.93,34.71,41.45,6.74,1,2,2,2,2
"124","10_AGLO_2","AGLO",10,"1-green",29,0,35,38.34,34.63,42.44,7.81,1,2,2,2,2
"125","10_AGLO_3","AGLO",10,"1-green",61,6,37,38.07,34.08,42.52,8.44,1,2,2,2,2
"126","10_AGLO_4","AGLO",10,"1-green",42,0,29,37.9,35.11,40.91,5.8,1,2,2,2,2
"127","10_AGLO_5","AGLO",10,"1-green",73,15,30,37.99,33.59,42.97,9.38,1,1,1,1,1
"128","10_AGLO_6","AGLO",10,"1-green",21,25,41,37.61,34.17,41.4,7.23,1,1,1,1,1
"129","10_ICRA_1","ICRA",10,"1-green",56,40,34,38.08,35.05,41.37,6.32,3,4,4,4,4
"130","10_ICRA_2","ICRA",10,"1-green",40,3,32,37.86,34.43,41.64,7.21,2,3,3,3,3
"131","10_ICRA_3","ICRA",10,"1-green",42,0,32,38.05,35.49,40.8,5.31,3,4,4,5,5
"132","10_ICRA_4","ICRA",10,"1-green",58,3,32,38.08,34.97,41.46,6.49,3,4,4,4,4
"133","10_ICRA_5","ICRA",10,"1-green",45,35,33,37.75,35.02,40.7,5.68,3,4,4,4,4
"134","10_ICRA_6","ICRA",10,"1-green",70,15,35,38.66,35.68,41.89,6.21,3,4,4,4,4
"135","10_ICRA_7","ICRA",10,"1-green",67,75,38,38.43,35.61,41.46,5.85,3,4,4,4,4
"136","10_ICRA_8","ICRA",10,"1-green",50,65,40,38.39,35.07,42.02,6.95,3,4,4,4,4
