Project,Country,Date,Site,Latitude,Longitude,Species,Bag_number,Genotype,Cookie_no,Sophie,Condition,Tank_color,Temperature,PAM1,PAM2,Pam_value,comments,Timepoint
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,13,6,10,AGLO6,wild,4-yellow,38,,,0.294,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,6,1,11,ICRA1,wild,4-yellow,38,,,0.294,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,36,2,12,ICRA2,wild,4-yellow,38,,,0.298,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,23,3,13,ICRA3,wild,4-yellow,38,,,0.316,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,2,4,14,ICRA4,wild,4-yellow,38,,,0.273,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,3,5,15,ICRA5,wild,4-yellow,38,,,0.252,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,38,6,16,ICRA6,wild,4-yellow,38,,,0.373,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,5,7,17,ICRA7,wild,4-yellow,38,,,0.394,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,37,8,18,ICRA8,wild,4-yellow,38,,,0.379,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,39,9,19,ICRA9,wild,4-yellow,38,,,0.287,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,24,10,20,ICRA10,wild,4-yellow,38,,,0.268,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AHYA,35,1,1,AHYA1,wild,5-orange,29,,,0.621,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AHYA,33,2,2,AHYA2,wild,5-orange,29,,,0.617,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AABR,31,1,3,AABR1,wild,5-orange,29,0.631,0.626,0.626,bottom/ top,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AABR,32,2,4,AABR2,wild,5-orange,29,0.462,0.506,0.506,bottom/ top,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,11,1,5,AGLO1,wild,5-orange,29,,,0.663,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,12,2,6,AGLO2,wild,5-orange,29,,,0.626,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,14,3,7,AGLO3,wild,5-orange,29,,,0.655,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,22,4,8,AGLO4,wild,5-orange,29,,,0.646,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,21,5,9,AGLO5,wild,5-orange,29,,,0.647,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,13,6,10,AGLO6,wild,5-orange,29,,,0.643,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,6,1,11,ICRA1,wild,5-orange,29,,,0.543,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,36,2,12,ICRA2,wild,5-orange,29,,,0.589,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,23,3,13,ICRA3,wild,5-orange,29,,,0.537,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,2,4,14,ICRA4,wild,5-orange,29,,,0.541,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,3,5,15,ICRA5,wild,5-orange,29,,,0.573,,420
