"ED5","ED50","ED95","Site","Species","Genotype","Dataset"
37.85,38.47,39.1,"1","AGLO","6","All"
37.17,38.33,39.52,"1","AGLO","7","All"
36.92,38.48,40.1,"1","AGLO","8","All"
37.39,38.38,39.38,"1","AGLO","9","All"
37.96,38.75,39.56,"1","AHYA","1","All"
37.72,38.65,39.59,"1","ICRA","1","All"
37.85,38.81,39.8,"1","ICRA","2","All"
37.75,38.65,39.58,"1","ICRA","3","All"
37.59,38.36,39.14,"1","ICRA","4","All"
37.67,38.63,39.61,"1","ICRA","5","All"
37.73,38.37,39.02,"1","ICRA","6","All"
36.05,37.86,39.76,"1","ICRA","7","All"
35.76,38.09,40.58,"1","ICRA","8","All"
36.29,37.87,39.51,"3","AGLO","1","All"
36.63,38,39.41,"3","AGLO","2","All"
36.44,37.95,39.52,"3","AGLO","3","All"
36.19,37.88,39.64,"3","AGLO","4","All"
35.63,38.12,40.79,"3","AGLO","5","All"
34.81,37.08,39.49,"3","AGLO","6","All"
36.07,37.74,39.48,"3","AGLO","7","All"
35.88,37.91,40.06,"3","AGLO","8","All"
35.56,38.11,40.85,"3","ICRA","1","All"
35.33,37.79,40.42,"3","ICRA","2","All"
36.24,37.98,39.8,"3","ICRA","3","All"
36.27,38.41,40.68,"3","ICRA","4","All"
36.33,38.2,40.16,"3","ICRA","5","All"
36.71,38.05,39.44,"3","ICRA","6","All"
35.82,37.89,40.08,"3","ICRA","7","All"
35.9,38.27,40.8,"3","ICRA","8","All"
36.64,38.04,39.49,"3","AHYA","1","All"
36.06,37.86,39.76,"3","AHYA","2","All"
35.88,37.68,39.57,"3","AABR","1","All"
35.54,37.39,39.35,"3","AABR","2","All"
36.29,38.38,40.58,"4","AHYA","1","All"
37.55,38.58,39.63,"4","AHYA","2","All"
36.48,38.14,39.87,"4","AABR","1","All"
35.62,38.15,40.86,"4","AABR","2","All"
36.79,37.91,39.05,"4","AGLO","1","All"
37.22,38.54,39.91,"4","AGLO","2","All"
37.76,38.45,39.16,"4","AGLO","3","All"
36.57,38.43,40.39,"4","AGLO","4","All"
36.87,38.32,39.82,"4","AGLO","5","All"
38.09,38.41,38.73,"4","AGLO","6","All"
35.04,38.33,41.94,"4","AGLO","7","All"
37.4,38.42,39.46,"4","AGLO","8","All"
36.39,38.42,40.56,"4","ICRA","1","All"
36.59,38.33,40.14,"4","ICRA","2","All"
37.52,38.54,39.58,"4","ICRA","3","All"
36.75,38.34,40,"4","ICRA","4","All"
36.73,38.66,40.69,"4","ICRA","5","All"
37.46,38.33,39.22,"4","ICRA","6","All"
37.28,38.52,39.8,"4","ICRA","7","All"
37.69,38.7,39.73,"4","ICRA","8","All"
36.08,37.7,39.39,"5","AHYA","1","All"
36.18,37.92,39.75,"5","AHYA","2","All"
35.96,37.5,39.1,"5","AABR","1","All"
35.57,37.47,39.48,"5","AABR","2","All"
36.38,38.36,40.45,"5","ICRA","1","All"
35.57,37.78,40.12,"5","ICRA","2","All"
36.4,38.38,40.47,"5","ICRA","3","All"
36.14,38.05,40.06,"5","ICRA","4","All"
34.89,37.91,41.19,"5","ICRA","5","All"
36.38,37.89,39.47,"5","ICRA","6","All"
35.5,38.07,40.83,"5","ICRA","7","All"
36.48,37.81,39.2,"5","ICRA","8","All"
36.15,37.99,39.92,"5","ICRA","9","All"
36.37,38.06,39.83,"5","ICRA","10","All"
36.06,37.62,39.26,"5","ICRA","11","All"
36.49,37.97,39.51,"5","ICRA","12","All"
36.45,38.58,40.83,"5","ICRA","13","All"
36.56,38.53,40.6,"5","ICRA","14","All"
36.47,38.14,39.9,"5","ICRA","15","All"
36.37,38.25,40.22,"5","ICRA","16","All"
37.07,38.37,39.71,"7","AABR","1","All"
37.18,38.4,39.67,"7","AABR","2","All"
36.78,38.42,40.14,"7","AABR","3","All"
36.38,38.14,39.98,"7","AABR","4","All"
35.75,37.77,39.91,"7","AABR","5","All"
36.31,37.97,39.7,"7","AABR","6","All"
37.03,38.12,39.24,"7","AHYA","1","All"
35.64,37.83,40.14,"7","AGLO","1","All"
36.29,38.03,39.86,"7","AGLO","2","All"
37.51,38.5,39.53,"7","AGLO","3","All"
35.01,37.66,40.51,"7","AGLO","4","All"
