"ED5","ED50","ED95","GroupingProperty","Site","Species"
35.3,37.47,39.77,"11_ICRA_6","11","ICRA"
35.71,37.38,39.13,"11_ICRA_7","11","ICRA"
35.97,37.35,38.77,"11_ICRA_8","11","ICRA"
35.84,37.74,39.73,"11_AGLO_1","11","AGLO"
36.68,38.37,40.13,"11_AGLO_2","11","AGLO"
36.62,37.81,39.03,"11_AGLO_3","11","AGLO"
35.72,37.96,40.33,"11_AGLO_4","11","AGLO"
36.82,37.87,38.95,"11_AGLO_5","11","AGLO"
36.88,38.49,40.17,"11_AGLO_6","11","AGLO"
35.99,38.2,40.56,"11_AGLO_7","11","AGLO"
36.69,38.21,39.79,"11_AGLO_8","11","AGLO"
